Precinct,Votes,BRANDON JOHNSON ,%,PAUL VALLAS ,%,Ward
1,691,469,67.87%,222,32.13%,1
2,701,487,69.47%,214,30.53%,1
3,734,456,62.13%,278,37.87%,1
4,593,466,78.58%,127,21.42%,1
5,646,483,74.77%,163,25.23%,1
6,568,367,64.61%,201,35.39%,1
7,687,506,73.65%,181,26.35%,1
8,547,352,64.35%,195,35.65%,1
9,356,206,57.87%,150,42.13%,1
10,717,414,57.74%,303,42.26%,1
11,594,407,68.52%,187,31.48%,1
12,294,190,64.63%,104,35.37%,1
13,471,308,65.39%,163,34.61%,1
14,383,205,53.52%,178,46.48%,1
15,673,379,56.32%,294,43.68%,1
16,690,406,58.84%,284,41.16%,1
17,414,243,58.70%,171,41.30%,1
18,557,335,60.14%,222,39.86%,1
19,512,289,56.45%,223,43.55%,1
20,490,283,57.76%,207,42.24%,1
21,520,335,64.42%,185,35.58%,1
22,685,414,60.44%,271,39.56%,1
23,330,191,57.88%,139,42.12%,1
24,783,406,51.85%,377,48.15%,1
25,678,336,49.56%,342,50.44%,1
26,659,318,48.25%,341,51.75%,1
1,571,143,25.04%,428,74.96%,2
2,759,180,23.72%,579,76.28%,2
3,414,132,31.88%,282,68.12%,2
4,448,116,25.89%,332,74.11%,2
5,573,127,22.16%,446,77.84%,2
6,792,169,21.34%,623,78.66%,2
7,680,132,19.41%,548,80.59%,2
8,576,98,17.01%,478,82.99%,2
9,747,146,19.54%,601,80.46%,2
10,323,93,28.79%,230,71.21%,2
11,501,142,28.34%,359,71.66%,2
12,499,179,35.87%,320,64.13%,2
13,714,174,24.37%,540,75.63%,2
14,442,127,28.73%,315,71.27%,2
15,615,120,19.51%,495,80.49%,2
16,687,132,19.21%,555,80.79%,2
17,973,269,27.65%,704,72.35%,2
18,508,178,35.04%,330,64.96%,2
19,324,79,24.38%,245,75.62%,2
20,418,97,23.21%,321,76.79%,2
21,144,33,22.92%,111,77.08%,2
22,433,170,39.26%,263,60.74%,2
23,498,183,36.75%,315,63.25%,2
24,447,126,28.19%,321,71.81%,2
25,666,170,25.53%,496,74.47%,2
1,526,431,81.94%,95,18.06%,3
2,592,487,82.26%,105,17.74%,3
3,409,232,56.72%,177,43.28%,3
4,413,341,82.57%,72,17.43%,3
5,120,96,80.00%,24,20.00%,3
6,493,335,67.95%,158,32.05%,3
7,318,236,74.21%,82,25.79%,3
8,411,355,86.37%,56,13.63%,3
9,288,174,60.42%,114,39.58%,3
10,338,123,36.39%,215,63.61%,3
11,551,463,84.03%,88,15.97%,3
12,608,497,81.74%,111,18.26%,3
13,737,280,37.99%,457,62.01%,3
14,741,362,48.85%,379,51.15%,3
15,445,357,80.22%,88,19.78%,3
16,318,200,62.89%,118,37.11%,3
17,127,102,80.31%,25,19.69%,3
18,163,130,79.75%,33,20.25%,3
19,803,306,38.11%,497,61.89%,3
20,542,436,80.44%,106,19.56%,3
21,447,236,52.80%,211,47.20%,3
22,399,281,70.43%,118,29.57%,3
23,184,143,77.72%,41,22.28%,3
24,100,90,90.00%,10,10.00%,3
25,787,203,25.79%,584,74.21%,3
26,259,206,79.54%,53,20.46%,3
27,668,294,44.01%,374,55.99%,3
1,744,603,81.05%,141,18.95%,4
2,286,216,75.52%,70,24.48%,4
