GEOID20,District,FriendlyId,GEOID23,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
17031custd05cb8e6d7555e21f1750d4db39aac6eca57f8e1,1,17031custd05cb8e6d7555e21f1750d4db39aac6eca57f8e1,10001,387,344,27,386,307,23,390,355,33,313,278,31,316,284,20,467,438,17,454,399,33,1195,60,321,804,4,6,0,804,4,6,0,0,2228,87,761,1414,4,8,0,0,0,1123,48,448,600,4,8,0,0,0,0,0,0,2029,63,833,1169,5,27,11,1113,5,6,0,0,11,1955,38,840,1082,4,25,8,0,0,1319,38,590,690,3,22,5,0,0,1218,44,516,616,3,3,0,3,33,1689,57,755,895,10,61,2,1218,44,516,651,7,47,1
17031cust7322782cc9d861a8bb355d89be5b1b2b968e52fe,1,17031cust7322782cc9d861a8bb355d89be5b1b2b968e52fe,10002,371,327,25,383,293,16,385,352,30,285,251,29,287,260,20,455,423,17,441,390,27,1115,144,557,409,0,0,0,409,0,0,0,0,1729,175,920,662,0,0,0,0,0,1073,67,740,266,0,0,0,0,0,0,0,0,1514,104,1101,336,0,0,0,311,0,0,0,0,0,1856,66,787,1060,8,28,1,0,0,1233,59,579,626,5,21,1,0,0,1016,44,538,416,1,6,0,0,11,1395,52,683,675,5,34,1,1016,44,538,445,2,22,1
17031cust3992f46855b25e1ba65401865f26b1dc6d3f4de2,1,17031cust3992f46855b25e1ba65401865f26b1dc6d3f4de2,10003,601,538,41,639,513,36,643,583,53,492,432,48,484,429,38,714,666,32,692,615,53,1872,64,807,973,15,18,0,968,15,18,0,0,3188,76,1583,1519,39,19,0,0,0,2049,57,789,1135,8,11,0,0,0,0,0,0,3713,66,1558,2062,55,11,0,2019,51,11,0,0,8,3823,96,2192,1576,24,72,10,0,0,2549,80,1502,967,15,52,6,0,0,2107,78,1146,845,2,0,0,4,32,2942,91,1546,1331,10,66,2,2107,78,1146,898,6,52,2
17031cust1536aebe4d30e728b2af125baf64a89dad4eaf7b,1,17031cust1536aebe4d30e728b2af125baf64a89dad4eaf7b,10004,786,706,43,751,589,36,775,696,69,671,588,65,660,599,41,960,906,26,939,856,41,1872,92,497,1234,10,10,0,1231,10,10,25,0,3099,94,902,2179,59,11,0,0,0,1892,107,487,1267,38,8,0,0,0,0,0,0,3298,108,861,2355,68,16,0,2244,18,5,0,0,61,3335,72,1119,2181,11,25,1,0,0,2154,66,823,1277,9,22,1,0,0,2058,50,655,1305,10,2,0,2,34,3097,61,898,2184,16,91,4,2058,50,655,1367,14,60,3
17031cust79477fa7effb093ad432054518246b5d8c170890,1,17031cust79477fa7effb093ad432054518246b5d8c170890,10005,275,229,35,300,238,36,306,248,53,214,168,39,217,195,15,313,274,29,308,249,42,762,91,630,42,0,0,0,42,0,0,0,0,1400,111,1233,114,0,33,0,0,0,771,83,681,0,0,0,0,0,0,0,0,0,1538,145,1391,93,3,26,0,0,0,0,0,0,0,1410,83,1204,141,1,36,3,0,0,900,79,750,76,1,18,2,0,0,851,58,734,49,1,0,0,1,8,1210,67,1047,96,9,73,3,851,58,734,56,3,57,3
17031cust83d8c0d2e702f14253347e2ddfa8f6d8a9f0c362,1,17031cust83d8c0d2e702f14253347e2ddfa8f6d8a9f0c362,10006,336,281,37,349,269,28,355,304,43,272,232,36,268,230,29,402,335,45,384,316,39,1045,84,761,198,0,0,0,198,0,0,0,0,2025,161,1550,424,0,21,0,0,0,944,110,710,123,0,0,0,0,0,0,0,0,1613,168,1252,249,0,9,0,195,0,0,0,0,0,2170,158,1738,284,8,56,2,0,0,1438,143,1129,161,5,34,1,0,0,1232,87,928,195,2,4,0,7,9,1717,107,1332,284,8,71,5,1232,87,928,215,6,52,2
17031custb65eb160db3ea11c8c66548d056c1c35e34ed073,1,17031custb65eb160db3ea11c8c66548d056c1c35e34ed073,10007,622,497,101,691,521,102,707,563,139,503,392,97,513,418,74,694,562,110,672,519,106,1332,155,905,270,1,0,0,270,0,0,0,0,2188,167,1708,335,5,0,0,0,0,1679,254,1245,212,0,0,0,0,0,0,0,0,2520,251,1898,372,7,0,0,364,1,0,0,1,5,2309,305,1806,214,13,49,5,0,0,1575,268,1193,116,7,24,2,0,0,1598,182,1253,124,9,11,1,0,18,2129,198,1712,214,27,99,7,1598,182,1253,154,22,69,5
17031custf46beb482eb0e07faba4d7a42f93b10350c455cd,1,17031custf46beb482eb0e07faba4d7a42f93b10350c455cd,10008,558,432,93,618,453,93,629,477,139,450,349,84,445,363,58,619,494,95,596,464,89,1181,159,708,315,3,0,0,315,0,0,0,0,1806,170,1234,451,7,0,0,0,0,1198,279,778,244,10,0,0,0,0,0,0,0,1798,254,1142,402,6,0,0,402,0,0,0,0,3,1908,253,1540,146,6,37,3,0,0,1356,232,1048,82,4,21,0,0,0,1324,141,1094,77,1,1,1,1,8,1755,150,1475,131,10,67,7,1324,141,1094,92,7,51,7
17031cust3256c451e53746f7dcd79ae8deff6dae8012dc0a,1,17031cust3256c451e53746f7dcd79ae8deff6dae8012dc0a,10009,655,553,70,749,599,80,765,636,114,496,425,56,501,440,41,731,643,54,698,577,74,1223,183,975,57,15,0,0,57,15,0,0,0,2526,244,2189,148,47,9,0,0,0,1780,242,1479,37,15,0,0,0,0,0,0,0,2907,292,2545,108,40,18,0,56,13,0,0,0,0,3133,300,2688,170,11,61,7,0,0,2089,281,1715,102,7,36,5,0,0,2059,200,1703,120,7,8,0,7,14,2831,230,2391,231,19,183,11,2059,200,1703,154,16,125,9
17031cust95495d4bf040c86e54f018c991fbd8286d757141,1,17031cust95495d4bf040c86e54f018c991fbd8286d757141,10010,659,524,99,774,603,93,794,641,142,511,390,97,513,406,75,707,579,99,689,529,115,1408,167,1203,43,0,0,0,43,0,0,0,0,2344,206,2061,95,0,9,0,0,0,1279,207,1053,25,0,0,0,0,0,0,0,0,2087,192,1846,82,0,16,0,51,0,0,0,0,0,2493,316,2086,110,9,27,2,0,0,1703,293,1350,64,8,20,1,0,0,1859,233,1536,63,4,0,2,7,14,2517,245,2154,124,18,150,6,1859,233,1536,92,12,110,5
17031custcd53322e4b752bc6fbd21f361a526b184a2b164f,1,17031custcd53322e4b752bc6fbd21f361a526b184a2b164f,10011,313,251,43,351,273,42,357,283,66,240,187,43,240,195,32,355,300,38,340,272,44,665,82,581,0,0,0,0,0,0,0,0,0,1318,97,1214,6,0,14,0,0,0,721,89,628,0,0,0,0,0,0,0,0,0,1211,114,1090,7,0,11,0,7,0,0,0,0,0,1317,137,1159,33,5,25,2,0,0,872,122,735,19,2,13,1,0,0,867,80,754,24,5,0,0,1,3,1173,82,1030,65,8,85,2,867,80,754,31,8,56,2
17031cust724f10ddc35d36a9e72864338cedb653e6adb92e,1,17031cust724f10ddc35d36a9e72864338cedb653e6adb92e,10012,577,477,76,608,486,63,628,518,100,466,381,74,465,389,53,661,559,81,640,524,82,1177,269,845,51,8,0,0,51,8,0,0,0,2095,293,1696,177,27,13,0,0,0,917,249,655,2,11,0,0,0,0,0,0,0,1771,274,1480,90,71,13,0,13,4,0,0,0,0,2266,344,1865,86,14,48,1,0,0,1530,305,1192,36,9,30,1,0,0,1524,197,1249,44,8,1,0,11,14,2119,208,1810,103,16,113,4,1524,197,1249,64,12,72,4
17031custfa7a65abe5d9f44fc7afbc8110bdf348fa62c7f1,1,17031custfa7a65abe5d9f44fc7afbc8110bdf348fa62c7f1,10013,655,511,116,742,577,104,754,588,156,499,380,109,508,399,85,716,567,118,698,533,125,1256,249,921,70,7,0,0,70,7,0,0,0,2314,281,1911,142,15,42,0,0,0,1189,240,953,0,0,0,0,0,0,0,0,0,2200,269,1925,32,24,38,0,4,4,0,0,0,0,2270,407,1794,67,24,33,2,0,0,1584,367,1174,34,12,20,1,0,0,1716,213,1456,29,4,1,0,5,8,2205,224,1913,78,6,136,4,1716,213,1456,48,6,109,3
