precinct,votes,ja'mal green,%,sophia king,%,kam buckner,%,willie l. wilson,%,brandon johnson,%,paul vallas,%,lori e. lightfoot,%,roderick t. sawyer,%,"jesus ""chuy"" garcia",%,ward
1,560,8,1.43%,5,0.89%,18,3.21%,8,1.43%,248,44.29%,131,23.39%,57,10.18%,1,0.18%,84,15.00%,Ward 1
2,613,8,1.31%,6,0.98%,11,1.79%,8,1.31%,296,48.29%,139,22.68%,64,10.44%,0,0%,81,13.21%,Ward 1
3,635,20,3.15%,6,0.94%,18,2.83%,12,1.89%,242,38.11%,199,31.34%,54,8.50%,2,0.31%,82,12.91%,Ward 1
4,490,12,2.45%,1,0.20%,21,4.29%,10,2.04%,246,50.20%,84,17.14%,23,4.69%,1,0.20%,92,18.78%,Ward 1
5,551,9,1.63%,2,0.36%,26,4.72%,6,1.09%,242,43.92%,106,19.24%,38,6.90%,0,0%,122,22.14%,Ward 1
6,498,7,1.41%,2,0.40%,13,2.61%,14,2.81%,199,39.96%,121,24.30%,52,10.44%,1,0.20%,89,17.87%,Ward 1
7,593,11,1.85%,7,1.18%,18,3.04%,11,1.85%,327,55.14%,101,17.03%,35,5.90%,1,0.17%,82,13.83%,Ward 1
8,452,12,2.65%,1,0.22%,15,3.32%,11,2.43%,201,44.47%,124,27.43%,27,5.97%,0,0%,61,13.50%,Ward 1
9,300,9,3.00%,2,0.67%,14,4.67%,23,7.67%,99,33.00%,68,22.67%,26,8.67%,0,0%,59,19.67%,Ward 1
10,631,12,1.90%,12,1.90%,33,5.23%,14,2.22%,243,38.51%,177,28.05%,50,7.92%,4,0.63%,86,13.63%,Ward 1
11,469,8,1.71%,5,1.07%,23,4.90%,23,4.90%,183,39.02%,97,20.68%,57,12.15%,2,0.43%,71,15.14%,Ward 1
12,265,6,2.26%,4,1.51%,9,3.40%,8,3.02%,84,31.70%,83,31.32%,20,7.55%,1,0.38%,50,18.87%,Ward 1
13,411,3,0.73%,6,1.46%,12,2.92%,10,2.43%,174,42.34%,110,26.76%,46,11.19%,1,0.24%,49,11.92%,Ward 1
14,356,12,3.37%,6,1.69%,12,3.37%,29,8.15%,100,28.09%,98,27.53%,40,11.24%,2,0.56%,57,16.01%,Ward 1
15,543,8,1.47%,3,0.55%,22,4.05%,17,3.13%,198,36.46%,185,34.07%,45,8.29%,1,0.18%,64,11.79%,Ward 1
16,573,13,2.27%,9,1.57%,18,3.14%,9,1.57%,194,33.86%,208,36.30%,59,10.30%,2,0.35%,61,10.65%,Ward 1
17,356,4,1.12%,4,1.12%,27,7.58%,6,1.69%,124,34.83%,116,32.58%,29,8.15%,2,0.56%,44,12.36%,Ward 1
